hsu_id,HSU_AIN_DRAHAM,HSU_BEJA,HSU_BIZERTE,HSU_CAP_BON,HSU_DAHMANI,HSU_DJEBINIANA,HSU_DJERBA,HSU_EL_DJEM,HSU_ENFIDHA,HSU_GABES,HSU_GAFSA,HSU_GHARDIMAOU,HSU_KAIROUAN,HSU_KASSERINE,HSU_KEBILI,HSU_KERKENNAH,HSU_LE_KEF,HSU_MAHDIA,HSU_MAKTAR,HSU_MATEUR,HSU_MATMATA,HSU_MEDENINE,HSU_MEDJEZ_EL_BAB,HSU_MENZEL_TEMIME,HSU_MONASTIR,HSU_NABEUL,HSU_NEFZA,HSU_SBEITLA,HSU_SERS,HSU_SFAX,HSU_SIDI_BOU_ZID,HSU_SOLIMAN,HSU_SOUASSI,HSU_SOUK_EL_ARBA,HSU_SOUK_EL_KHEMIS,HSU_SOUSSE,HSU_TABARKA,HSU_TATAOUINE,HSU_TEBOURBA,HSU_TEBOURSOUK,HSU_THALA,HSU_TOZEUR,HSU_TUNIS,HSU_ZAGHOUAN
HSU_AIN_DRAHAM,0.0,44.22,118.61,162.62,94.24,278.09,384.03,245.53,167.64,346.68,262.0,42.95,175.85,179.85,342.93,322.12,67.37,255.88,113.06,91.38,378.19,415.14,83.27,204.83,221.53,186.25,38.73,176.84,84.29,293.79,206.52,160.64,230.72,32.04,31.2,204.52,20.32,457.29,102.54,61.35,134.56,322.03,132.84,136.36
HSU_BEJA,44.22,0.0,86.62,118.41,92.86,243.66,357.88,210.21,126.07,327.0,258.33,72.97,142.48,176.16,336.5,287.77,74.7,216.7,97.38,55.41,361.02,393.71,39.1,161.22,181.23,142.1,26.86,166.37,74.32,262.71,189.63,116.65,196.29,43.67,22.82,164.71,45.48,437.7,59.77,30.16,136.46,326.16,89.51,93.08
HSU_BIZERTE,118.61,86.62,0.0,93.38,175.21,265.68,395.38,232.17,134.77,377.82,331.7,157.08,178.61,252.27,405.32,307.28,160.7,223.68,169.44,31.97,414.99,439.6,73.28,113.31,186.88,119.09,79.89,236.91,154.06,292.81,251.09,84.11,222.39,129.82,109.09,175.07,105.14,485.96,49.51,106.21,217.99,404.83,58.76,99.84
HSU_CAP_BON,162.62,118.41,93.38,0.0,166.73,177.9,312.09,145.86,52.94,304.48,287.4,184.82,108.73,218.96,350.75,217.43,167.53,131.86,143.36,88.98,343.35,360.86,79.62,48.06,95.98,26.58,133.18,196.03,145.08,208.09,196.28,11.16,139.07,154.01,136.63,87.03,160.06,408.14,64.15,112.77,200.39,367.38,36.52,38.7
HSU_DAHMANI,94.24,92.86,175.21,166.73,0.0,212.81,300.02,184.79,141.31,256.44,168.51,66.64,117.84,85.99,248.91,254.69,28.37,207.24,34.8,143.29,286.07,325.75,105.45,214.78,180.79,180.52,114.34,83.48,22.38,220.09,116.54,171.05,168.7,62.55,75.66,163.66,112.98,366.27,134.04,69.02,43.6,233.44,154.67,128.63
HSU_DJEBINIANA,278.09,243.66,265.68,177.9,212.81,0.0,136.4,34.02,130.93,147.67,204.84,272.21,102.24,188.6,230.73,44.13,235.54,54.45,178.78,249.23,186.54,190.15,214.09,194.39,83.08,158.89,269.3,162.44,205.46,34.95,128.76,188.97,47.45,251.41,247.13,91.17,287.67,237.53,221.4,217.57,210.98,282.18,207.51,166.9
HSU_DJERBA,384.03,357.88,395.38,312.09,300.02,136.4,0.0,166.37,262.02,69.47,201.76,366.27,218.96,238.4,173.8,108.46,327.5,189.76,272.25,375.0,86.37,59.38,335.38,330.79,219.12,294.67,384.69,222.95,301.59,104.05,185.12,323.24,173.63,353.45,355.26,225.17,397.77,104.22,348.23,328.67,279.19,250.66,338.86,295.56
HSU_EL_DJEM,245.53,210.21,232.17,145.86,184.79,34.02,166.37,0.0,97.42,167.58,201.38,241.71,70.16,171.7,238.99,77.74,205.97,38.71,150.19,215.28,207.09,217.18,180.14,166.39,54.07,128.57,235.65,144.26,175.53,62.33,115.61,157.0,16.11,219.67,214.44,58.84,254.52,264.69,187.49,184.65,187.84,281.84,174.29,133.07
HSU_ENFIDHA,167.64,126.07,134.77,52.94,141.31,130.93,262.02,97.42,0.0,251.73,239.06,177.69,56.83,176.54,299.27,173.02,150.78,92.91,111.02,119.49,290.51,309.17,89.96,90.08,56.13,47.92,148.36,151.33,122.68,158.58,146.35,63.73,88.39,149.33,137.28,41.34,171.5,356.28,91.44,107.87,166.63,320.21,77.0,36.89
HSU_GABES,346.68,327.0,377.82,304.48,256.44,147.67,69.47,167.58,251.73,0.0,135.17,322.92,199.77,183.98,106.17,139.73,284.76,200.86,233.72,353.39,39.52,69.66,311.02,332.29,221.1,292.12,353.69,174.2,262.43,113.24,140.33,315.41,168.44,314.93,320.35,221.78,362.62,110.81,328.69,296.9,228.66,181.36,325.33,280.39
