hsu_id,HSU_AIN_DRAHAM,HSU_BEJA,HSU_BIZERTE,HSU_CAP_BON,HSU_DAHMANI,HSU_DJEBINIANA,HSU_DJERBA,HSU_EL_DJEM,HSU_ENFIDHA,HSU_GABES,HSU_GAFSA,HSU_GHARDIMAOU,HSU_KAIROUAN,HSU_KASSERINE,HSU_KEBILI,HSU_KERKENNAH,HSU_LE_KEF,HSU_MAHDIA,HSU_MAKTAR,HSU_MATEUR,HSU_MATMATA,HSU_MEDENINE,HSU_MEDJEZ_EL_BAB,HSU_MENZEL_TEMIME,HSU_MONASTIR,HSU_NABEUL,HSU_NEFZA,HSU_SBEITLA,HSU_SERS,HSU_SFAX,HSU_SIDI_BOU_ZID,HSU_SOLIMAN,HSU_SOUASSI,HSU_SOUK_EL_ARBA,HSU_SOUK_EL_KHEMIS,HSU_SOUSSE,HSU_TABARKA,HSU_TATAOUINE,HSU_TEBOURBA,HSU_TEBOURSOUK,HSU_THALA,HSU_TOZEUR,HSU_TUNIS,HSU_ZAGHOUAN
HSU_GAFSA,262.0,258.33,331.7,287.4,168.51,204.84,201.76,201.38,239.06,135.17,0.0,227.32,183.52,82.6,81.92,225.32,194.64,239.79,162.9,301.44,146.69,198.49,258.44,329.13,239.04,286.9,281.95,94.91,184.16,184.28,93.59,296.3,191.1,230.85,243.66,229.72,281.27,226.83,283.93,230.18,127.74,82.09,293.38,252.05
HSU_GHARDIMAOU,42.95,72.97,157.08,184.82,66.64,272.21,366.27,241.71,177.69,322.92,227.32,0.0,171.84,147.04,309.07,315.37,38.77,258.3,95.43,127.35,351.89,392.32,106.85,230.52,226.99,205.48,79.03,149.24,67.01,283.08,183.18,185.16,226.0,30.95,50.58,209.49,62.85,432.47,131.86,72.45,100.01,282.73,160.38,152.48
HSU_KAIROUAN,175.85,142.48,178.61,108.73,117.84,102.24,218.96,70.16,56.83,199.77,183.52,171.84,0.0,127.79,242.45,146.28,136.91,89.44,83.1,156.28,237.69,261.05,116.55,146.42,66.82,103.95,168.69,100.71,106.32,120.44,90.16,119.0,54.93,149.52,144.92,51.83,185.78,307.35,130.13,115.52,129.47,265.22,125.7,80.69
HSU_KASSERINE,179.85,176.16,252.27,218.96,85.99,188.6,238.4,171.7,176.54,183.98,82.6,147.04,127.79,0.0,163.08,222.5,112.63,205.64,82.91,221.29,208.4,253.38,179.15,264.27,192.84,223.69,199.43,27.86,101.85,181.9,61.06,226.52,157.2,148.46,161.08,179.31,198.9,290.0,205.93,148.64,47.23,152.75,218.99,181.26
HSU_KEBILI,342.93,336.5,405.32,350.75,248.91,230.73,173.8,238.99,299.27,106.17,81.92,309.07,242.45,163.08,0.0,236.2,275.69,277.06,239.51,376.23,94.16,147.6,332.67,388.09,286.26,345.69,361.01,170.28,263.08,200.98,155.69,360.6,233.35,311.45,323.21,280.98,361.89,162.47,356.42,307.47,209.24,80.83,362.07,318.51
HSU_KERKENNAH,322.12,287.77,307.28,217.43,254.69,44.13,108.46,77.74,173.02,139.73,225.32,315.37,146.28,222.5,236.2,0.0,278.26,86.92,221.17,292.1,175.3,166.72,257.82,228.5,121.46,196.4,313.34,197.97,248.45,41.71,161.47,228.31,91.58,295.18,291.2,132.22,331.8,212.63,264.15,261.68,249.52,297.21,248.72,209.49
HSU_LE_KEF,67.37,74.7,160.7,167.53,28.37,235.54,327.5,205.97,150.78,284.76,194.64,38.77,136.91,112.63,275.69,278.26,0.0,225.16,57.31,128.9,314.43,354.02,96.76,215.14,195.92,184.81,92.23,111.79,30.6,245.09,144.72,170.07,190.05,36.97,54.05,178.45,86.89,394.64,124.96,58.28,67.26,256.02,149.57,131.42
HSU_MAHDIA,255.88,216.7,223.68,131.86,207.24,54.45,189.76,38.71,92.91,200.86,239.79,258.3,89.44,205.64,277.06,86.92,225.16,0.0,172.53,211.73,240.07,244.46,182.34,141.96,37.13,109.75,240.32,177.84,194.63,89.29,152.22,142.51,49.49,233.25,224.77,52.16,262.09,291.78,183.72,194.6,216.57,320.47,164.94,129.67
HSU_MAKTAR,113.06,97.38,169.44,143.36,34.8,178.78,272.25,150.19,111.02,233.72,162.9,95.43,83.1,82.91,239.51,221.17,57.31,172.53,0.0,138.7,265.94,302.08,96.25,190.82,146.85,153.61,122.87,69.23,29.34,187.8,93.92,149.35,134.12,81.61,87.12,129.93,129.01,344.43,123.13,67.98,57.09,235.65,137.99,104.67
HSU_MATEUR,91.38,55.41,31.97,88.98,143.29,249.23,375.0,215.28,119.49,353.39,301.44,127.35,156.28,221.29,376.23,292.1,128.9,211.73,138.7,0.0,389.8,416.83,43.64,121.3,174.61,115.53,53.78,206.92,122.28,274.05,223.18,82.55,204.01,99.0,78.15,160.81,81.1,462.62,28.06,74.34,186.19,373.63,52.75,82.69
HSU_MATMATA,378.19,361.02,414.99,343.35,286.07,186.54,86.37,207.09,290.51,39.52,146.69,351.89,237.69,208.4,94.16,175.3,314.43,240.07,265.94,389.8,0.0,54.12,347.0,371.73,260.62,331.41,387.49,202.71,293.99,151.83,172.02,354.23,207.9,346.22,353.02,261.17,394.89,81.73,365.67,330.86,254.78,174.68,363.39,318.39
HSU_MEDENINE,415.14,393.71,439.6,360.86,325.75,190.15,59.38,217.18,309.17,69.66,198.49,392.32,261.05,253.38,147.6,166.72,354.02,244.46,302.08,416.83,54.12,0.0,375.38,383.42,271.06,345.51,420.52,243.81,331.03,155.89,209.35,371.98,221.91,383.56,388.17,275.03,430.61,47.52,391.14,363.76,298.3,228.37,384.95,340.54
HSU_MEDJEZ_EL_BAB,83.27,39.1,73.28,79.62,105.45,214.09,335.38,180.14,89.96,311.02,258.44,106.85,116.55,179.15,332.67,257.82,96.76,182.34,96.25,43.64,347.0,375.38,0.0,123.85,145.97,102.99,58.52,163.7,83.37,236.36,179.58,78.68,167.47,75.92,57.33,130.21,83.06,420.75,28.65,38.48,146.81,331.84,53.82,55.01
HSU_MENZEL_TEMIME,204.83,161.22,113.31,48.06,214.78,194.39,330.79,166.39,90.08,332.29,329.13,230.52,146.42,264.27,388.09,228.5,215.14,141.96,190.82,121.3,371.73,383.42,123.85,0.0,112.38,42.49,171.85,240.19,193.13,227.72,236.36,45.43,163.85,199.57,181.13,110.63,199.49,430.94,102.54,159.31,247.91,410.16,72.05,86.45
HSU_MONASTIR,221.53,181.23,186.88,95.98,180.79,83.08,219.12,54.07,56.13,221.1,239.04,226.99,66.82,192.84,286.26,121.46,195.92,37.13,146.85,174.61,260.62,271.06,145.97,112.38,0.0,75.82,204.23,165.19,165.85,115.51,146.72,106.86,53.75,200.54,190.64,17.51,226.71,318.58,146.6,160.61,196.13,321.02,128.13,92.69
HSU_NABEUL,186.25,142.1,119.09,26.58,180.52,158.89,294.67,128.57,47.92,292.12,286.9,205.48,103.95,223.69,345.69,196.4,184.81,109.75,153.61,115.53,331.41,345.51,102.99,42.49,75.82,0.0,158.47,198.95,159.86,190.77,193.96,34.98,124.15,175.06,158.91,70.64,184.95,392.99,90.22,133.03,210.44,368.12,63.08,53.49
HSU_NEFZA,38.73,26.86,79.89,133.18,114.34,269.3,384.69,235.65,148.36,353.69,281.95,79.03,168.69,199.43,361.01,313.34,92.23,240.32,122.87,53.78,387.49,420.52,58.52,171.85,204.23,158.47,0.0,191.33,97.95,289.07,215.86,129.41,222.05,56.2,38.73,188.17,27.72,464.42,69.77,56.8,157.58,347.46,100.14,113.42
HSU_SBEITLA,176.84,166.37,236.91,196.03,83.48,162.44,222.95,144.26,151.33,174.2,94.91,149.24,100.71,27.86,170.28,197.97,111.79,177.84,69.23,206.92,202.71,243.81,163.7,240.19,165.19,198.95,191.33,0.0,93.93,158.18,38.76,204.2,129.57,144.81,154.25,151.94,194.63,283.26,189.02,137.2,56.28,171.9,199.18,159.23
HSU_SERS,84.29,74.32,154.06,145.08,22.38,205.46,301.59,175.53,122.68,262.43,184.16,67.01,106.32,101.85,263.08,248.45,30.6,194.63,29.34,122.28,293.99,331.03,83.37,193.13,165.85,159.86,97.95,93.93,0.0,216.16,122.23,149.07,159.66,52.53,60.34,148.44,101.09,373.01,111.9,48.02,63.93,252.36,132.3,107.33
HSU_SFAX,293.79,262.71,292.81,208.09,220.09,34.95,104.05,62.33,158.58,113.24,184.28,283.08,120.44,181.9,200.98,41.71,245.09,89.29,187.8,274.05,151.83,155.89,236.36,227.72,115.51,190.77,289.07,158.18,216.16,0.0,120.86,219.24,70.41,265.23,263.48,121.13,305.21,203.37,246.71,234.94,211.22,257.88,235.58,193.07
HSU_SIDI_BOU_ZID,206.52,189.63,251.09,196.28,116.54,128.76,185.12,115.61,146.35,140.33,93.59,183.18,90.16,61.06,155.69,161.47,144.72,152.22,93.92,223.18,172.02,209.35,179.58,236.36,146.72,193.96,215.86,38.76,122.23,120.86,0.0,205.76,102.73,174.69,181.0,136.47,222.91,250.78,201.79,159.53,94.75,175.57,206.37,162.94
HSU_SOLIMAN,160.64,116.65,84.11,11.16,171.05,188.97,323.24,157.0,63.73,315.41,296.3,185.16,119.0,226.52,360.6,228.31,170.07,142.51,149.35,82.55,354.23,371.98,78.68,45.43,106.86,34.98,129.41,204.2,149.07,219.24,205.76,0.0,150.21,154.21,136.0,98.17,156.72,419.25,59.68,113.89,206.15,375.86,29.93,45.29
HSU_SOUASSI,230.72,196.29,222.39,139.07,168.7,47.45,173.63,16.11,88.39,168.44,191.1,226.0,54.93,157.2,233.35,91.58,190.05,49.49,134.12,204.01,207.9,221.91,167.47,163.85,53.75,124.15,222.05,129.57,159.66,70.41,102.73,150.21,0.0,204.38,199.72,53.52,240.22,269.28,176.5,170.12,172.02,272.32,165.31,122.67
HSU_SOUK_EL_ARBA,32.04,43.67,129.82,154.01,62.55,251.41,353.45,219.67,149.33,314.93,230.85,30.95,149.52,148.46,311.45,295.18,36.97,233.25,81.61,99.0,346.22,383.56,75.92,199.57,200.54,175.06,56.2,144.81,52.53,265.23,174.69,154.21,204.38,0.0,20.85,183.15,50.44,425.47,101.35,42.24,104.01,292.99,129.53,122.4
HSU_SOUK_EL_KHEMIS,31.2,22.82,109.09,136.63,75.66,247.13,355.26,214.44,137.28,320.35,243.66,50.58,144.92,161.08,323.21,291.2,54.05,224.77,87.12,78.15,353.02,388.17,57.33,181.13,190.64,158.91,38.73,154.25,60.34,263.48,181.0,136.0,199.72,20.85,0.0,173.54,42.56,431.14,81.32,30.18,118.85,308.74,110.21,107.44
HSU_SOUSSE,204.52,164.71,175.07,87.03,163.66,91.17,225.17,58.84,41.34,221.78,229.72,209.49,51.83,179.31,280.98,132.22,178.45,52.16,129.93,160.81,261.17,275.03,130.21,110.63,17.51,70.64,188.17,151.94,148.44,121.13,136.47,98.17,53.52,183.15,173.54,0.0,210.14,322.48,132.75,143.45,180.25,311.81,116.59,78.22
HSU_TABARKA,20.32,45.48,105.14,160.06,112.98,287.67,397.77,254.52,171.5,362.62,281.27,62.85,185.78,198.9,361.89,331.8,86.89,262.09,129.01,81.1,394.89,430.61,83.06,199.49,226.71,184.95,27.72,194.63,101.09,305.21,222.91,156.72,240.22,50.44,42.56,210.14,0.0,473.38,97.2,70.32,154.14,342.15,127.66,137.92
HSU_TATAOUINE,457.29,437.7,485.96,408.14,366.27,237.53,104.22,264.69,356.28,110.81,226.83,432.47,307.35,290.0,162.47,212.63,394.64,291.78,344.43,462.62,81.73,47.52,420.75,430.94,318.58,392.99,464.42,283.26,373.01,203.37,250.78,419.25,269.28,425.47,431.14,322.48,473.38,0.0,437.26,407.62,336.15,241.65,431.78,387.22
HSU_TEBOURBA,102.54,59.77,49.51,64.15,134.04,221.4,348.23,187.49,91.44,328.69,283.93,131.86,130.13,205.93,356.42,264.15,124.96,183.72,123.13,28.06,365.67,391.14,28.65,102.54,146.6,90.22,69.77,189.02,111.9,246.71,201.79,59.68,176.5,101.35,81.32,132.75,97.2,437.26,0.0,66.81,175.07,358.67,30.51,54.67
HSU_TEBOURSOUK,61.35,30.16,106.21,112.77,69.02,217.57,328.67,184.65,107.87,296.9,230.18,72.45,115.52,148.64,307.47,261.68,58.28,194.6,67.98,74.34,330.86,363.76,38.48,159.31,160.61,133.03,56.8,137.2,48.02,234.94,159.53,113.89,170.12,42.24,30.18,143.45,70.32,407.62,66.81,0.0,111.87,300.13,91.61,80.17
HSU_THALA,134.56,136.46,217.99,200.39,43.6,210.98,279.19,187.84,166.63,228.66,127.74,100.01,129.47,47.23,209.24,249.52,67.26,216.57,57.09,186.19,254.78,298.3,146.81,247.91,196.13,210.44,157.58,56.28,63.93,211.22,94.75,206.15,172.02,104.01,118.85,180.25,154.14,336.15,175.07,111.87,0.0,189.94,193.14,161.7
HSU_TOZEUR,322.03,326.16,404.83,367.38,233.44,282.18,250.66,281.84,320.21,181.36,82.09,282.73,265.22,152.75,80.83,297.21,256.02,320.47,235.65,373.63,174.68,228.37,331.84,410.16,321.02,368.12,347.46,171.9,252.36,257.88,175.57,375.86,272.32,292.99,308.74,311.81,342.15,241.65,358.67,300.13,189.94,0.0,370.82,331.06
HSU_TUNIS,132.84,89.51,58.76,36.52,154.67,207.51,338.86,174.29,77.0,325.33,293.38,160.38,125.7,218.99,362.07,248.72,149.57,164.94,137.99,52.75,363.39,384.95,53.82,72.05,128.13,63.08,100.14,199.18,132.3,235.58,206.37,29.93,165.31,129.53,110.21,116.59,127.66,431.78,30.51,91.61,193.14,370.82,0.0,45.02
HSU_ZAGHOUAN,136.36,93.08,99.84,38.7,128.63,166.9,295.56,133.07,36.89,280.39,252.05,152.48,80.69,181.26,318.51,209.49,131.42,129.67,104.67,82.69,318.39,340.54,55.01,86.45,92.69,53.49,113.42,159.23,107.33,193.07,162.94,45.29,122.67,122.4,107.44,78.22,137.92,387.22,54.67,80.17,161.7,331.06,45.02,0.0
