loc_id,name_fr,name_ar,hsu_id,pop_jewish,lat,lon,type,synagogues,ary_spoliation_files,pop_jewish_tunisian_twansa,pop_jewish_french_citizens,pop_jewish_foreign_grana_et_al,estimated_households,male_pop,female_pop,official_census_name,legal_basis,archives_nationales_cote,german_occupation_exposure
TN_JEW_TUNIS_HARA,Tunis (La Hara - Quartier Juif),تونس (الحارة),HSU_TUNIS,27560,36.8015,10.1695,Medina Quarter,14,1840,19292,6339,1929,5742,13918,13642,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_TUNIS_MODERNE,Tunis (Ville Moderne / Lafayette),تونس (المدينة الحديثة),HSU_TUNIS,18928,36.812,10.181,European Sector,4,1420,13250,4353,1325,3943,9559,9369,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_GOULETTE,La Goulette,حلق الوادي,HSU_TUNIS,3536,36.8181,10.305,Port Suburb,2,210,2475,813,248,737,1786,1750,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_ARIANA,Ariana,أريانة,HSU_TUNIS,884,36.8625,10.1956,Suburban Commune,1,65,619,203,62,184,446,438,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_MARSA,La Marsa,المرسى,HSU_TUNIS,437,36.8764,10.3253,Coastal Suburb,1,45,305,101,31,91,221,216,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_BIZERTE,Bizerte,بنزرت,HSU_BIZERTE,3328,37.2744,9.8739,Naval City,3,280,2330,765,233,693,1681,1647,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_MATEUR,Mateur,ماطر,HSU_MATEUR,645,37.04,9.665,Agricultural Town,1,40,613,26,6,134,326,319,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_FERRYVILLE,Ferryville (Menzel Bourguiba),منزل بورقيبة,HSU_BIZERTE,811,37.1536,9.7858,Arsenal Town,1,55,567,187,57,169,410,401,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_NABEUL,Nabeul,نابل,HSU_NABEUL,1924,36.4561,10.7376,Sahel/Cap Bon,3,140,1828,77,19,401,972,952,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_HAMMAMET,Hammamet,الحمامات,HSU_NABEUL,187,36.4,10.6167,Coastal Village,1,15,178,7,2,39,94,93,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
