loc_id,name_fr,name_ar,hsu_id,pop_jewish,lat,lon,type,synagogues,ary_spoliation_files,pop_jewish_tunisian_twansa,pop_jewish_french_citizens,pop_jewish_foreign_grana_et_al,estimated_households,male_pop,female_pop,official_census_name,legal_basis,archives_nationales_cote,german_occupation_exposure
TN_JEW_SOLIMAN,Soliman,سليمان,HSU_SOLIMAN,322,36.6972,10.4917,Agricultural Town,1,22,306,13,3,67,163,159,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_BEJA,Béja,باجة,HSU_BEJA,1716,36.7256,9.1817,Tell Market City,2,120,1630,69,17,358,867,849,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_MEDJEZ,Medjez el Bab,مجاز الباب,HSU_MEDJEZ_EL_BAB,426,36.65,9.61,River Junction,1,30,405,17,4,89,215,211,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_SOUK_ARBA,Souk el Arba (Jendouba),جندوبة,HSU_SOUK_EL_ARBA,749,36.5011,8.7803,Cereal Center,1,50,712,30,7,156,378,371,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_LE_KEF,Le Kef,الكاف,HSU_LE_KEF,1539,36.1742,8.7049,Fortified Mountain City,2,110,1462,62,15,321,777,762,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_TEBOURSOUK,Téboursouk,تبرسق,HSU_TEBOURSOUK,270,36.46,9.25,Hilly Village,1,18,256,11,3,56,136,134,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_SOUSSE,Sousse,سوسة,HSU_SOUSSE,5408,35.8256,10.6084,Sahel Metropolis,4,460,3785,1244,379,1127,2731,2677,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_MONASTIR,Monastir,المنستير,HSU_MONASTIR,707,35.778,10.8262,Coastal Town,1,50,672,28,7,147,357,350,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_MAHDIA,Mahdia,المهدية,HSU_MAHDIA,770,35.5047,11.0622,Fishing Harbor,1,60,731,31,8,160,389,381,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_MOKNINE,Moknine,مكنين,HSU_MONASTIR,2028,35.6333,10.9,Artisan/Goldsmith Town,2,180,1927,81,20,422,1024,1004,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_KAIROUAN,Kairouan,القيروان,HSU_KAIROUAN,676,35.6781,10.0963,Inland City,1,45,642,27,7,141,341,335,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_SFAX,Sfax,صفاقس,HSU_SFAX,4368,34.7406,10.7603,Major Port City,3,390,3057,1005,306,910,2206,2162,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,1
TN_JEW_GAFSA,Gafsa,قفصة,HSU_GAFSA,853,34.425,8.7842,Oasis/Mining Hub,1,70,810,34,9,178,431,422,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_TOZEUR,Tozeur,توزر,HSU_TOZEUR,499,33.9197,8.1336,Djérid Oasis,1,35,474,20,5,104,252,247,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_GABES_VILLE,Gabès (Ville & Djara),قابس (جارة),HSU_GABES,3224,33.8815,10.0982,Maritime Oasis Port,3,250,3063,129,32,672,1628,1596,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_DJERBA_HARA_KEBIRA,Djerba (Hara Kebira - Es Souk),جربة (الحارة الكبيرة),HSU_DJERBA,3952,33.875,10.855,Ancient Island Hara,11,310,3754,158,40,823,1996,1956,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_DJERBA_HARA_SGHIRA,Djerba (Hara Sghira - Er Riadh / Ghriba),جربة (الحارة الصغيرة / الغريبة),HSU_DJERBA,988,33.815,10.858,Ghriba Sanctuary Settlement,5,80,938,40,10,206,499,489,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_MEDENINE,Médenine,مدنين,HSU_MEDENINE,749,33.3547,10.5053,Ksar Market Town,1,55,712,30,7,156,378,371,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_ZARZIS,Zarzis,جرجيس,HSU_MEDENINE,1019,33.504,11.112,Southern Peninsula,2,75,968,41,10,212,515,504,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_BEN_GARDANE,Ben Gardane,بن قردان,HSU_MEDENINE,510,33.1389,11.2167,Libyan Frontier Post,1,40,485,20,5,106,258,252,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_TATAOUINE,Tataouine,تطاوين,HSU_TATAOUINE,364,32.9297,10.4517,Military Post,1,25,345,15,4,76,184,180,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
TN_JEW_KEBILI,Kébili,قبلي,HSU_KEBILI,291,33.7044,8.9692,Nefzaoua Oasis,1,20,276,12,3,61,147,144,Recensement des Juifs de la Tunisie prescrit par le décret beylical du 26 juin 1941,Décret beylical du 26 juin 1941 (JOT n° 52) et décret d'application du 29 septembre 1941 (JOT n° 79),FPC-SG5-0037-0001-0008,0
