census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,pop_european_total,pop_french,pop_italian,pop_maltese,pop_other_european,ratio_italian_to_french,share_french_in_eur,share_italian_in_eur
1891,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,20823,4585,10285,5403,550,2.2432,0.2202,0.4939
1891,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,4477,1156,2174,1021,126,1.8806,0.2582,0.4856
1891,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,484,126,239,100,19,1.8968,0.2603,0.4938
1891,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,565,120,312,112,21,2.6,0.2124,0.5522
1891,HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,786,237,346,172,31,1.4599,0.3015,0.4402
1891,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,600,174,273,129,24,1.569,0.29,0.455
1891,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,70,22,30,15,3,1.3636,0.3143,0.4286
1891,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,545,170,235,118,22,1.3824,0.3119,0.4312
1891,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,190,67,72,43,8,1.0746,0.3526,0.3789
1891,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,245,96,88,50,11,0.9167,0.3918,0.3592
1891,HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,329,85,156,76,12,1.8353,0.2584,0.4742
1891,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,93,28,44,17,4,1.5714,0.3011,0.4731
1891,HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,515,148,236,111,20,1.5946,0.2874,0.4583
1891,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,163,45,77,35,6,1.7111,0.2761,0.4724
1891,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,236,61,116,50,9,1.9016,0.2585,0.4915
1891,HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,95,30,40,21,4,1.3333,0.3158,0.4211
1891,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,1207,218,752,205,32,3.4495,0.1806,0.623
1891,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,TN_CC_GROMBALIA,36.4561,10.7375,726,167,397,135,27,2.3772,0.23,0.5468
1891,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,TN_CC_GROMBALIA,36.7,10.49,430,80,252,83,15,3.15,0.186,0.586
1891,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,TN_CC_GROMBALIA,36.78,10.99,411,81,235,80,15,2.9012,0.1971,0.5718
1891,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,TN_CC_ZAGHOUAN,36.4028,10.1433,410,109,193,92,16,1.7706,0.2659,0.4707
1891,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.8256,10.6411,3299,659,1712,843,85,2.5979,0.1998,0.5189
1891,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.778,10.8262,446,100,240,90,16,2.4,0.2242,0.5381
1891,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.5047,11.0622,491,99,270,104,18,2.7273,0.2016,0.5499
1891,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,TN_CC_SOUSSE,36.1333,10.3833,183,64,69,42,8,1.0781,0.3497,0.377
1891,HSU_KAIROUAN,Kairouan,القيروان,Center-West,TN_CC_KAIROUAN,35.6781,10.0963,499,138,235,107,19,1.7029,0.2766,0.4709
1891,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,TN_CC_KAIROUAN,35.35,10.55,39,10,20,8,1,2.0,0.2564,0.5128
1891,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,TN_CC_KAIROUAN,35.85,9.2,249,73,117,49,10,1.6027,0.2932,0.4699
1891,HSU_THALA,Thala,تالة,Center-West,TN_CC_THALA,35.57,8.67,184,57,83,36,8,1.4561,0.3098,0.4511
1891,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,TN_CC_THALA,35.23,9.13,86,27,37,19,3,1.3704,0.314,0.4302
1891,HSU_KASSERINE,Kasserine,القصرين,Center-West,TN_CC_THALA,35.1667,8.8333,47,15,20,10,2,1.3333,0.3191,0.4255
1891,HSU_SFAX,Sfax,صفاقس,South,TN_CC_SFAX,34.7406,10.7603,2798,629,1442,651,76,2.2925,0.2248,0.5154
1891,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,TN_CC_SFAX,35.0333,10.9,76,16,42,15,3,2.625,0.2105,0.5526
1891,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,TN_CC_SFAX,35.3,10.7167,153,34,85,28,6,2.5,0.2222,0.5556
1891,HSU_KERKENNAH,Kerkennah,قرقنة,South,TN_CC_SFAX,34.7333,11.2167,12,2,7,3,0,3.5,0.1667,0.5833
