hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,temporal_validity,constituent_colonial_units
HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,"All years: 1921, 1926, 1931, 1936, 1946, 1956","Tunis, Banlieue, Goulette, Marsa, Carthage, Radès, Hammam-Lif, Ariana"
HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,All years: 1921-1956,"Caïdat Bizerte, Ferryville, Ghar El Melh, Ras Djebel"
HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,All years: 1921-1956,Caïdat & Commune Mateur
HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,All years: 1921-1956,Caïdat & Commune Tébourba
HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,All years: 1921-1956,Caïdat & Commune Béja
HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,All years: 1921-1956,"Caïdat Medjez el-Bab, Testour"
HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,All years: 1921-1956,Caïdat de Nefza
HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,All years: 1921-1956,Caïdat & Commune Souk el-Arba
HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,All years: 1921-1956,Caïdat de Souk el-Khemis
HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,TN_CC_SOUK_EL_ARBA,36.78,8.69,All years: 1921-1956,Caïdat & Commune Aïn Draham
HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,All years: 1921-1956,Caïdat & Commune Tabarka
HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,All years: 1921-1956,Caïdat de Ghardimaou
HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,All years: 1921-1956,Caïdat & Commune Le Kef
HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,All years: 1921-1956,Caïdat d'Ebba Ksour
HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,All years: 1921-1956,Caïdat & Commune Téboursouk
HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,All years: 1921-1956,Caïdat du Sers
HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,All years: 1921-1956,Caïdat & Commune Grombalia
